,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
2514,8 Ball Pool‪™‬,Online Pool Multiplayer Games,Miniclip SA,#2 in Sports,4+,4.7,$1.99,3.4M Ratings,Offers In-App Purchases,221.6 MB,,,,,,
2515,Top Eleven Be a Soccer Manager,Soccer Management Game 2023,Nordeus Ltd,#41 in Sports,4+,4.7,$0.99,65.7K Ratings,Offers In-App Purchases,357.5 MB,,,,,,
2516,Touchgrind Skate 2,Skate like in real life,Illusion Labs AB,#57 in Sports,4+,3.5,$5.99,10.9K Ratings,,492.3 MB,,,,,,
2517,Cornhole League,"Throw bags, earn rewards‪!‬",TapNation,#74 in Sports,12+,4.5,$2.99,60.1K Ratings,,482.6 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
2518,Pool - Win Real Cash,Earn Money on Pool,VLB,#96 in Sports,17+,4.5,$4.99,3.2K Ratings,,381.9 MB,Gambling,Frequent/Intense Simulated Gambling,Frequent/Intense Contests,,,
2519,Volleyball Arena,Ultimate fun sports game,Miniclip SA,#38 in Sports,4+,4.7,Free,13.6K Ratings,Offers In-App Purchases,245.7 MB,,,,,,
2520,MADFUT 23,"Draft, Packs, Squad Builder","MEDFUT, OOO",#69 in Sports,4+,4.8,$1.99,19.9K Ratings,,119.1 MB,,,,,,
2521,Ice Rage,,Mountain Sheep,#23 in Sports,4+,4.2,Free,121 Ratings,,71.9 MB,,,,,,
2522,World Cup Table Tennis‪™‬,,Skyworks Interactive Corp.,#62 in Sports,4+,4.4,$5.99,118 Ratings,,31.5 MB,,,,,,
2523,Kiteboard Hero,‘Real-feel’ kitesurfing‪!‬,Mind Pump Games Ltd,#72 in Sports,4+,4.7,Free,12 Ratings,,91.9 MB,,,,,,
2524,College BBALL Coach,,David Zolnier,#82 in Sports,4+,4.3,$0.99,223 Ratings,,87.1 MB,,,,,,
2525,Golf Peaks,golf + cards + puzzle,Lukasz Spierewka,#37 in Sports,4+,4.7,Free,557 Ratings,,182.3 MB,,,,,,
2526,Vegas Pool Watch,,RESETgame,#26 in Casino,12+,5,Free,1 Rating,,4.8 MB,Infrequent/Mild Simulated Gambling,,,,,
2527,Virtual Crokinole,,Jotinder Dhanjal,#87 in Sports,4+,3.1,Free,15 Ratings,,88.8 MB,,,,,,
2528,NBA 2K Mobile Basketball Game,Build your NBA fantasy world,2K Sports,#8 in Sports,4+,4.8,$4.99,1.1M Ratings,,2.1 GB,,,,,,
2529,SUPER SIDEKICKS ACA NEOGEO,now available in the app‪!‬,SNK CORPORATION,#64 in Sports,4+,5,Free,2 Ratings,,168.1 MB,,,,,,
2530,Idle Five - Basketball Manager,Swipe & build your dream team‪!‬,Gaminho,#87 in Sports,4+,4.8,Free,10.7K Ratings,,386.7 MB,,,,,,
2531,Trail Boss BMX,"Big jumps, big stunts‪.‬",Adam Hunt,#71 in Racing,4+,4.9,Free,1.5K Ratings,,754.6 MB,,,,,,
2532,Basketball Stars™: Multiplayer,Real-time 3D Basketball Game,Miniclip SA,#27 in Sports,4+,4.7,Free,287K Ratings,,207.6 MB,,,,,,
2533,Sonic at the Olympic Games‪.‬,Tokyo 2020,Sega America,#10 in Sports,4+,4.1,Free,33 Ratings,,704.2 MB,,,,,,
2534,CarX Highway Racing,Become a racing legend,"KAR IKS TEKHNOLODZHIS, OOO",#84 in Racing,4+,4.8,Free,19.7K Ratings,,1.2 GB,,,,,,
2535,Alphaputt,Crazy alphabet golf,Sennep,#78 in Sports,4+,4,Free,235 Ratings,,572 MB,,,,,,
2536,Pumped BMX 3,,Adam Hunt,#58 in Racing,4+,4.7,Free,604 Ratings,,162.2 MB,,,,,,
2537,10 Pin Shuffle Pro Bowling,Bowl on a Shuffleboard Table,Digital Smoke,#68 in Sports,4+,4.7,Free,1.5K Ratings,,29.9 MB,,,,,,
2538,Grand Prix Story,,"Kairosoft Co.,Ltd",#77 in Sports,4+,4.6,Free,30 Ratings,,256.6 MB,,,,,,
2539,Hole.io,Eat the world,Voodoo,#4 in Sports,12+,4.6,$4.99,1.9M Ratings,,283.9 MB,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Simulated Gambling,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Cartoon or Fantasy Violence
2540,Baseball Clash: Real-time game,Easy to play multiplayer fun‪!‬,Miniclip SA,#58 in Sports,4+,4.7,$4.99,49.2K Ratings,,2.6 GB,,,,,,
2541,i Fishing,,Chris Egerter,#100 in Sports,4+,4.7,Free,663 Ratings,Offers In-App Purchases,126 MB,,,,,,
2542,Vegas Bowling Watch,,RESETgame,#30 in Sports,12+,3,Free,18 Ratings,Offers In-App Purchases,12.1 MB,Infrequent/Mild Simulated Gambling,,,,,
2543,Clay Hunt PRO,Shotgun Shooting Simulator,Shotgun Gaming Oy,#10 in Sports,12+,4.7,Free,1K Ratings,Offers In-App Purchases,263.3 MB,Infrequent/Mild Realistic Violence,,,,,
2544,NBA CLASH: Basketball Game,Fun Fast Live Mobile Sync Ball,Nifty Games Inc,#42 in Sports,4+,4.8,Free,3.5K Ratings,Offers In-App Purchases,339.8 MB,,,,,,
2545,Race Arena - Fall Car Battle,Drift fast to beat all racers‪!‬,"DEVGEIM, OOO",#37 in Racing,4+,4.6,$2.99,9.9K Ratings,,191.9 MB,,,,,,
2546,Hooked Inc: Fishing Games,Idle Tycoon Boat Simulator,Lion Studios LLC,#58 in Sports,12+,4.7,Free,448.6K Ratings,Offers In-App Purchases,340.5 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Realistic Violence,Infrequent/Mild Mature/Suggestive Themes
2547,Forest Golf Planner,,"Kairosoft Co.,Ltd",#75 in Sports,4+,4.7,Free,61 Ratings,Offers In-App Purchases,293.7 MB,,,,,,
